src_ip,dst_ip,protocol,length,timestamp,label
192.168.1.5,192.168.1.4,6,716,2024-11-29 20:53:02,1
192.168.1.5,192.168.1.2,17,466,2024-11-29 20:53:03,1
192.168.1.5,192.168.1.4,17,395,2024-11-29 20:53:04,1
192.168.1.4,192.168.1.5,6,260,2024-11-29 20:53:05,0
192.168.1.6,192.168.1.6,6,524,2024-11-29 20:53:06,1
192.168.1.3,192.168.1.2,6,1121,2024-11-29 20:53:07,0
192.168.1.2,192.168.1.6,6,1355,2024-11-29 20:53:08,1
192.168.1.5,192.168.1.2,6,956,2024-11-29 20:53:09,0
192.168.1.1,192.168.1.1,17,372,2024-11-29 20:53:10,1
192.168.1.5,192.168.1.5,17,297,2024-11-29 20:53:11,1
192.168.1.6,192.168.1.5,6,402,2024-11-29 20:53:12,0
192.168.1.1,192.168.1.5,17,118,2024-11-29 20:53:13,0
192.168.1.1,192.168.1.6,6,249,2024-11-29 20:53:14,1
192.168.1.3,192.168.1.4,17,750,2024-11-29 20:53:15,1
192.168.1.5,192.168.1.1,6,798,2024-11-29 20:53:16,1
192.168.1.2,192.168.1.4,17,358,2024-11-29 20:53:17,0
192.168.1.4,192.168.1.3,6,701,2024-11-29 20:53:18,1
192.168.1.2,192.168.1.5,6,1177,2024-11-29 20:53:19,1
192.168.1.6,192.168.1.3,6,652,2024-11-29 20:53:20,1
192.168.1.4,192.168.1.2,6,739,2024-11-29 20:53:21,0
192.168.1.3,192.168.1.3,17,155,2024-11-29 20:53:22,0
192.168.1.2,192.168.1.5,17,1030,2024-11-29 20:53:23,0
192.168.1.6,192.168.1.2,17,266,2024-11-29 20:53:24,1
192.168.1.5,192.168.1.4,6,912,2024-11-29 20:53:25,0
192.168.1.2,192.168.1.5,17,1402,2024-11-29 20:53:26,1
192.168.1.4,192.168.1.6,6,1153,2024-11-29 20:53:27,0
192.168.1.1,192.168.1.4,17,476,2024-11-29 20:53:28,1
192.168.1.3,192.168.1.3,17,1204,2024-11-29 20:53:29,1
192.168.1.3,192.168.1.5,17,756,2024-11-29 20:53:30,1
192.168.1.1,192.168.1.3,17,868,2024-11-29 20:53:31,0
192.168.1.2,192.168.1.1,6,1230,2024-11-29 20:53:32,0
192.168.1.4,192.168.1.1,17,969,2024-11-29 20:53:33,1
192.168.1.6,192.168.1.3,17,525,2024-11-29 20:53:34,0
192.168.1.6,192.168.1.6,17,1236,2024-11-29 20:53:35,1
192.168.1.1,192.168.1.1,6,277,2024-11-29 20:53:36,1
192.168.1.2,192.168.1.4,17,1284,2024-11-29 20:53:37,0
192.168.1.2,192.168.1.6,17,464,2024-11-29 20:53:38,0
192.168.1.5,192.168.1.3,6,1232,2024-11-29 20:53:39,0
192.168.1.2,192.168.1.6,6,726,2024-11-29 20:53:40,0
192.168.1.1,192.168.1.3,6,693,2024-11-29 20:53:41,1
192.168.1.3,192.168.1.1,6,455,2024-11-29 20:53:42,1
192.168.1.1,192.168.1.2,6,499,2024-11-29 20:53:43,1
192.168.1.1,192.168.1.2,6,896,2024-11-29 20:53:44,0
192.168.1.3,192.168.1.3,6,547,2024-11-29 20:53:45,1
192.168.1.5,192.168.1.6,6,866,2024-11-29 20:53:46,0
192.168.1.4,192.168.1.3,17,1293,2024-11-29 20:53:47,1
192.168.1.2,192.168.1.6,17,819,2024-11-29 20:53:48,0
192.168.1.1,192.168.1.6,17,112,2024-11-29 20:53:49,0
192.168.1.1,192.168.1.2,17,1156,2024-11-29 20:53:50,0
192.168.1.6,192.168.1.6,17,430,2024-11-29 20:53:51,1
192.168.1.1,192.168.1.1,17,1406,2024-11-29 20:53:52,0
